"Yuju","Yuju",module,Madkting_Connect
"Yuju Information","Yuju Information",module,Madkting_Connect
"Valid Account","Valid Account",module,Madkting_Connect
"Invalid Account","Invalid Account",module,Madkting_Connect
"Please save Store option","Please save Store option",module,Madkting_Connect
"Match - Order Status","Match - Order Status",module,Madkting_Connect
"Download shipping label failed, check log registry #%1 for more details","Download shipping label failed, check log registry #%1 for more details",module,Madkting_Connect
"Yuju - Download Shipping Label Error: %1","Yuju - Download Shipping Label Error: %1",module,Madkting_Connect
"Download shipping label failed, must provide required parameters","Download shipping label failed, must provide required parameters",module,Madkting_Connect
"Incorrect petition","Incorrect petition",module,Madkting_Connect
"Yuju's order status updated successfully","Yuju's order status updated successfully",module,Madkting_Connect
"Yuju's order status assignation failed","Yuju's order status assignation failed",module,Madkting_Connect
"Yuju - Assign Order Status Error: %1","Yuju - Assign Order Status Error: %1",module,Madkting_Connect
"Yuju's order status assignation failed, must provide required parameters","Yuju's order status assignation failed, must provide required parameters",module,Madkting_Connect
"Please correct sent data.","Please correct sent data.",module,Madkting_Connect
"Something went wrong while saving order status.","Something went wrong while saving order status.",module,Madkting_Connect
"Fatal error could not get order data, response = %1","Fatal error could not get order data, response = %1",module,Madkting_Connect
"No location information","No location information",module,Madkting_Connect
"There is no Yuju token information","There is no Yuju token information",module,Madkting_Connect
"Petition is not POST","Petition is not POST",module,Madkting_Connect
"Invalid Yuju API token","Invalid Yuju API token",module,Madkting_Connect
"To define","To define",module,Madkting_Connect
"Yuju order %1 creation fail: %2","Yuju order %1 creation fail: %2",module,Madkting_Connect
"Yuju Error - Cannot create order %1, %2","Yuju Error - Cannot create order %1, %2",module,Madkting_Connect
"Invoice #%1 created.","Invoice #%1 created.",module,Madkting_Connect
"Could not create invoice","Could not create invoice",module,Madkting_Connect
"Yuju create invoice, error = %1","Yuju create invoice, error = %1",module,Madkting_Connect
"Shipment #%1 created.","Shipment #%1 created.",module,Madkting_Connect
"Could not create shipment","Could not create shipment",module,Madkting_Connect
"Yuju Order Information","Yuju Order Information",module,Madkting_Connect
"Order ID","Order ID",module,Madkting_Connect
"Order Status","Order Status",module,Madkting_Connect
"N/D","N/D",module,Madkting_Connect
"N/A","N/A",module,Madkting_Connect
"Marketplace","Marketplace",module,Madkting_Connect
"Payment Method","Payment Method",module,Madkting_Connect
"Actions Information","Actions Information",module,Madkting_Connect
"Download delivery label","Download delivery label",module,Madkting_Connect
"Download PDF","Download PDF",module,Madkting_Connect
"Download ZPL","Download ZPL",module,Madkting_Connect
"Set ready to ship","Set ready to ship",module,Madkting_Connect
"Set Status","Set Status",module,Madkting_Connect
"Done","Done",module,Madkting_Connect
"There are no available actions to do in this order yet.","There are no available actions to do in this order yet.",module,Madkting_Connect
"This order was created by Yuju, click here to get details","This order was created by Yuju, click here to get details",module,Madkting_Connect
"Marketplace:","Marketplace:",module,Madkting_Connect
"Payment Method:","Payment Method:",module,Madkting_Connect
"Configuration","Configuration",module,Madkting_Connect
"General","General",module,Madkting_Connect
"Connection","Connection",module,Madkting_Connect
"Match","Match",module,Madkting_Connect
"API Token","API Token",module,Madkting_Connect
"<a href=""https://apps.test.yuju.io"" target=""_blank"">Click here to sign into your Yuju account.</a>","<a href=""https://apps.test.yuju.io"" target=""_blank"">Click here to sign into your Yuju account.</a>",module,Madkting_Connect
"Status","Status",module,Madkting_Connect
"Store","Store",module,Madkting_Connect
"Select store where Yuju will get products and update orders.","Select store where Yuju will get products and update orders.",module,Madkting_Connect
"Notifications URL","Notifications URL",module,Madkting_Connect
"Edit","Edit",module,Madkting_Connect
"ID","ID",module,Madkting_Connect
"Yuju's Status","Yuju's Status",module,Madkting_Connect
"Magento's Status","Magento's Status",module,Madkting_Connect
"Document","Document",module,Madkting_Connect
"Create Document","Create Document",module,Madkting_Connect
"Invoice","Invoice",module,Madkting_Connect
"Shipment","Shipment",module,Madkting_Connect
"Credit Memo","Credit Memo",module,Madkting_Connect
"Marketplace Order ID","Marketplace Order ID",module,Madkting_Connect
"Marketplace Status","Marketplace Status",module,Madkting_Connect
"American Express","American Express",module,Madkting_Connect
"Referenced Payment","Referenced Payment",module,Madkting_Connect
"Credit Card","Credit Card",module,Madkting_Connect
"Debit Card","Debit Card",module,Madkting_Connect
"Cash on Delivey Payment","Cash on Delivey Payment",module,Madkting_Connect
"Oxxo Direct","Oxxo Direct",module,Madkting_Connect
"PayPal","PayPal",module,Madkting_Connect
"Credit Card on Delivery Payment","Credit Card on Delivery Payment",module,Madkting_Connect
